YEAR,State,Total_Population,White_Alone_population,Black_Alone_population,American_Indian_or_Alaskan_Native_population,Asian_Alone_population,Not_Hispanic_population,Hispanic_poulation,Total_Victims,Total_Victims_with_Race,Black_total,White_total,Hispanic_total,Asian_total,Non_Hispanic_total
2016,MO,6087135,5067791,720019,33976,121290,5838352,248783,21,19,7,11,1,NULL,NULL
2017,MO,6106670,5075415,722085,34733,125978,5850954,255716,31,31,13,17,1,NULL,NULL
2018,MO,6121623,5080690,723809,35166,129306,5859240,262383,24,19,7,11,NULL,1,NULL
2019,MO,6137428,5086188,725579,35839,133312,5868720,268708,28,25,11,13,1,NULL,NULL
2015,MS,2988471,1777650,1124044,17868,31065,2897628,90843,8,8,1,7,NULL,NULL,NULL
2016,MS,2987938,1773354,1126424,18089,31149,2895027,92911,8,8,4,4,NULL,NULL,NULL
2017,MS,2988510,1770340,1128043,18363,31606,2892436,96074,17,17,7,9,1,NULL,NULL
2018,MS,2981020,1762445,1126849,18490,32349,2882741,98279,10,9,5,4,NULL,NULL,NULL
2019,MS,2976149,1758081,1124559,18705,33032,2876039,100110,18,17,5,11,NULL,1,NULL
2015,MT,1030475,919833,5691,68700,8581,993200,37275,4,4,NULL,4,NULL,NULL,NULL
2016,MT,1040859,927814,5935,69595,8980,1002049,38810,5,5,NULL,5,NULL,NULL,NULL
2017,MT,1052482,936852,6196,70563,9263,1011467,41015,6,6,NULL,3,NULL,NULL,3
2018,MT,1060665,943749,6260,70876,9542,1018383,42282,6,6,NULL,5,NULL,NULL,1
2019,MT,1068778,950211,6389,71096,9833,1025489,43289,6,6,NULL,6,NULL,NULL,NULL
2015,NC,10031646,7142858,2225220,157429,281758,9129334,902312,23,23,8,15,NULL,NULL,NULL
2016,NC,10154788,7210675,2253930,159645,297332,9223567,931221,32,31,12,17,1,1,NULL
2017,NC,10268233,7270828,2280761,161897,312976,9307128,961105,22,22,9,11,2,NULL,NULL
2018,NC,10381615,7336997,2306627,163846,323922,9387009,994606,25,25,7,15,3,NULL,NULL
2019,NC,10488084,7399487,2330563,165597,334299,9462254,1025830,34,32,12,18,2,NULL,NULL
2015,ND,754066,666639,19576,41547,10708,727698,26368,1,1,NULL,NULL,NULL,NULL,1
2016,ND,754434,662681,22220,41944,11456,726857,27577,1,1,NULL,1,NULL,NULL,NULL
